Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
12/09/2015,25.3,21.4,17.6,20.9,19.2,16.9,97,86,69,1009,1003,13,1,14,0
13/09/2015,24.9,20.2,15.6,20.3,16,10,91,76,53,1011,1003,14,2,18,0.1
14/09/2015,24.3,18.8,13.2,11.1,9.8,8.3,81,61,39,1022,1011,19,3,19,0
15/09/2015,28.8,20.8,12.7,16.5,12.2,10.3,87,63,35,1026,1022,10,0,10,0
16/09/2015,29.6,22.2,14.7,17.8,14.9,12.6,89,66,39,1026,1022,10,0,13,0
17/09/2015,29.7,22.3,14.8,18.6,15.6,13.3,93,68,41,1023,1017,13,1,16,0
18/09/2015,28.5,21.8,15.1,19.2,15.7,13.3,93,70,41,1017,1014,6,0,6,0
19/09/2015,27.1,21.9,16.6,21.4,18.9,15.8,97,85,66,1015,1010,11,1,11,0
20/09/2015,26.8,22.3,17.7,20.3,13.6,6.6,93,62,33,1018,1010,18,2,18,0
21/09/2015,22.1,18.3,14.4,13.1,10.1,7,72,59,49,1023,1018,8,1,13,0
22/09/2015,22.6,19.2,15.9,15.5,12.6,8,82,69,55,1025,1022,5,0,10,0
23/09/2015,26.8,19.8,12.7,15.1,12.1,8,91,69,31,1024,1021,10,0,10,0
24/09/2015,27.6,20.3,13.1,17,13.3,9.3,94,69,40,1026,1022,10,0,11,0
25/09/2015,22.9,19.7,16.5,15.9,14,11.8,90,72,59,1028,1025,6,0,14,0
26/09/2015,22.6,19.1,15.6,13.7,12.5,10.6,81,70,53,1031,1027,10,1,10,0
27/09/2015,22.2,17.5,12.8,16.3,13.1,9.9,86,76,62,1031,1026,6,0,8,0
28/09/2015,26.1,22.2,18.2,20.2,18.3,15.8,95,85,69,1025,1019,6,0,6,0
29/09/2015,26.6,23.4,20.1,22.6,20.8,19.4,97,92,77,1019,1010,10,0,11,0.15
30/09/2015,25.4,20.6,15.9,23.4,20,11.4,97,88,72,1013,1003,16,1,24,2.92
01/10/2015,16.2,14.3,12.3,13,10.9,8.6,92,82,72,1020,1013,11,0,19,0.3
02/10/2015,13.8,11.1,8.4,11.2,8.6,7.4,94,91,83,1023,1020,18,1,23,5.21
03/10/2015,12.6,10.7,8.9,9.9,9,8.1,96,90,80,1027,1022,16,2,16,0.91
04/10/2015,18.4,15.2,12,9.9,8.5,7.3,83,70,51,1026,1023,18,1,18,0
05/10/2015,18.4,14.4,10.5,10.9,8.9,7.1,85,73,58,1023,1018,11,1,14,0
06/10/2015,22.1,15.4,8.6,12.3,9.4,6.5,94,72,38,1019,1013,10,0,10,0
07/10/2015,23.7,18.2,12.6,14,11.7,10.8,89,72,49,1017,1013,8,1,8,0
08/10/2015,20.3,15.6,10.9,13.9,12,9.8,95,82,57,1020,1016,11,0,11,0.23
09/10/2015,26.5,19.8,13.1,18.7,15.7,12.3,97,86,61,1018,1006,13,1,18,0.94
10/10/2015,18.1,13.3,8.6,13.7,6.7,3.7,91,66,41,1020,1012,19,1,19,0
11/10/2015,21.7,13.7,5.7,10.2,7.8,4.9,97,73,44,1018,1010,16,1,16,0
12/10/2015,23.9,16.1,8.4,14.6,10.9,7.5,95,76,44,1011,1005,10,1,10,0
13/10/2015,22.1,17.4,12.7,16.5,14.3,11.2,96,83,64,1005,999,13,1,14,0.25
14/10/2015,19.8,15.8,11.9,13.1,10.2,8.2,88,72,53,1011,1003,14,2,14,0
15/10/2015,17.9,12.2,6.6,8.9,6.3,4.7,95,68,43,1016,1011,16,1,16,0
16/10/2015,17.5,12.4,7.3,9.1,5.9,3.3,88,64,39,1016,1012,21,2,21,0
17/10/2015,12.9,8.7,4.4,5.3,0.1,-5.3,89,58,35,1023,1016,21,2,21,0
18/10/2015,10.2,5.3,0.4,-1.5,-3.6,-5.9,78,55,33,1028,1023,19,2,21,0
19/10/2015,11.8,5.3,-1.3,0.9,-2.2,-3.8,86,61,36,1032,1025,16,1,16,0
20/10/2015,22.2,14.7,7.2,6.5,3.9,0.7,80,53,31,1025,1020,16,3,18,0
21/10/2015,23.3,16.5,9.7,12.4,9.2,5.7,89,67,36,1026,1023,10,0,10,0
22/10/2015,24,16.8,9.7,12.2,10.2,7.7,89,66,43,1023,1017,11,1,14,0
23/10/2015,17.2,12.2,7.1,11.5,2.9,-1.2,74,52,30,1027,1018,19,2,19,0
24/10/2015,13.4,8.6,3.8,9.4,4.7,0.1,86,72,59,1029,1022,8,0,8,0
25/10/2015,19.8,14.8,9.8,13.6,9.6,2.4,92,74,49,1024,1016,16,2,16,0.05
26/10/2015,16.1,10.2,4.2,4.9,3.1,1.5,90,68,38,1032,1024,13,1,13,0
27/10/2015,14.8,9,3.2,8,5.2,1.9,93,78,58,1034,1031,6,0,6,0
28/10/2015,20.1,14.9,9.8,19.4,13.8,7.3,97,91,81,1030,1003,10,1,10,2.41
29/10/2015,23.4,18.3,13.2,19.2,11.3,2.3,96,68,36,1007,1000,26,3,26,0.38
30/10/2015,16.6,11.9,7.2,4.3,1.6,-0.2,66,51,37,1020,1007,21,3,21,0
31/10/2015,12.4,7.1,1.7,6.5,2.8,-0.1,90,70,50,1023,1017,10,0,10,0
01/11/2015,17.9,14,10.1,12.8,10.1,5.3,88,78,69,1017,1010,13,1,14,0
02/11/2015,17.2,13.2,9.1,11.2,8.7,7.2,95,80,52,1020,1015,6,0,6,0
03/11/2015,23.9,15.3,6.6,11.4,8,5.7,95,70,34,1024,1019,10,1,10,0
04/11/2015,20.1,14.4,8.7,13.7,10.4,7.1,96,80,52,1028,1023,6,0,10,0
05/11/2015,20,16.2,12.4,17.7,14.8,11.9,98,95,84,1026,1019,3,0,3,0.23
06/11/2015,23.4,20.2,17.1,18.9,17.9,15.4,98,88,75,1020,1009,21,2,21,0
07/11/2015,20.2,15.9,11.6,15,7.9,0.5,78,59,45,1020,1012,21,2,24,0
08/11/2015,14.9,9.6,4.4,2.4,1.3,-0.6,82,58,35,1030,1021,14,2,21,0
09/11/2015,14.7,8.4,2.2,7.3,3.6,0.3,89,70,38,1031,1025,3,0,6,0
10/11/2015,14.1,12.3,10.4,13.3,10.9,5.4,96,89,61,1025,1006,8,0,8,1.63
11/11/2015,15.7,12.7,9.7,11.7,9.9,8.9,96,87,75,1014,1006,18,2,23,0.38
12/11/2015,14.7,13,11.3,13,11.2,6.3,93,90,64,1014,999,19,1,21,0.36
13/11/2015,14.4,11,7.6,6.3,0.8,-5.2,67,48,35,1010,1001,38,7,39,0
14/11/2015,9.7,6.4,3.1,0.4,-2.7,-4.5,67,50,37,1024,1010,31,5,32,0
15/11/2015,15.3,8.3,1.3,1.9,-0.1,-2.6,82,57,37,1026,1021,19,2,19,0
16/11/2015,19.9,13.6,7.3,5.5,2.9,-0.7,68,52,34,1026,1021,13,1,13,0
17/11/2015,11.2,7.9,4.6,3.7,0.5,-2.1,76,59,43,1034,1026,11,0,11,0
18/11/2015,14.8,10.8,6.8,12,7.8,3.1,89,76,62,1033,1026,13,1,14,0
19/11/2015,17,15.4,13.8,16.5,14,11.8,97,93,88,1026,1013,14,2,19,1.7
20/11/2015,16.9,11.5,6.1,16.4,2,-6.5,97,55,25,1023,1013,19,3,19,0
21/11/2015,10.7,7.2,3.8,5.6,0.7,-3.6,90,64,43,1025,1012,14,0,14,0
22/11/2015,12,8.6,5.1,10.1,1.6,-4.6,91,61,42,1014,1010,16,2,21,0
23/11/2015,6.5,2.8,-0.9,-4.4,-7.1,-10.5,65,49,30,1024,1012,23,4,23,0
24/11/2015,8.3,2.3,-3.8,-2.9,-4.9,-7.7,82,58,40,1033,1024,18,1,18,0
25/11/2015,10.8,4.8,-1.2,0.1,-1.7,-3.5,88,69,37,1042,1033,6,0,6,0
26/11/2015,15.7,7.7,-0.3,10.7,5.5,-1.6,97,86,68,1043,1036,5,0,5,0
27/11/2015,18.8,12.3,5.8,12.2,8.3,5.4,98,80,53,1036,1023,14,1,14,0.03
